"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "XML", "JavaScript JSX", "comment", "blank", "total"
"d:\Projects\plumber\.eslintrc.cjs", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Projects\plumber\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"d:\Projects\plumber\index.html", "HTML", 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"d:\Projects\plumber\package-lock.json", "JSON", 0, 0, 5624, 0, 0, 0, 0, 0, 1, 5625
"d:\Projects\plumber\package.json", "JSON", 0, 0, 42, 0, 0, 0, 0, 0, 1, 43
"d:\Projects\plumber\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Projects\plumber\public\Blogs.json", "JSON", 0, 0, 44, 0, 0, 0, 0, 0, 1, 45
"d:\Projects\plumber\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Projects\plumber\src\App.css", "CSS", 0, 0, 0, 0, 62, 0, 0, 2, 9, 73
"d:\Projects\plumber\src\Components\About\BasicInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 3, 53
"d:\Projects\plumber\src\Components\About\FanFacts.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 3, 56
"d:\Projects\plumber\src\Components\About\HappyClients.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 3, 33
"d:\Projects\plumber\src\Components\About\OurTeam.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 6, 75
"d:\Projects\plumber\src\Components\Blogs\Blog.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 2, 35
"d:\Projects\plumber\src\Components\Blogs\BlogDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 125, 1, 10, 136
"d:\Projects\plumber\src\Components\Blogs\Blogs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 85, 1, 2, 88
