"filename", "language", "JavaScript", "Markdown", "HTML", "JSON", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"d:\Projects\plumber\.eslintrc.cjs", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\Projects\plumber\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"d:\Projects\plumber\index.html", "HTML", 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"d:\Projects\plumber\package-lock.json", "JSON", 0, 0, 0, 5624, 0, 0, 0, 0, 1, 5625
"d:\Projects\plumber\package.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 0, 1, 43
"d:\Projects\plumber\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Projects\plumber\public\Blogs.json", "JSON", 0, 0, 0, 44, 0, 0, 0, 0, 1, 45
"d:\Projects\plumber\public\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Projects\plumber\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 37, 7, 12, 56
"d:\Projects\plumber\src\Components\About\BasicInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 2, 3, 54
"d:\Projects\plumber\src\Components\About\FanFacts.jsx", "JavaScript JSX", 0, 0, 0, 0, 65, 0, 0, 4, 3, 72
"d:\Projects\plumber\src\Components\About\HappyClients.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 2, 4, 41
"d:\Projects\plumber\src\Components\About\OurTeam.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 4, 5, 50
"d:\Projects\plumber\src\Components\Blogs\Blog.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 4, 4, 42
"d:\Projects\plumber\src\Components\Blogs\BlogDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 2, 5, 40
"d:\Projects\plumber\src\Components\Blogs\Blogs.jsx", "JavaScript JSX", 0, 0, 0, 0, 107, 0, 0, 3, 6, 116
